,,act_composite,act_english,act_math,act_participation,act_reading,act_science,sat_evidence_read_write,sat_math,sat_participation,state,total,year
t,15,21.8,21.0,21.2,68.0,22.5,22.0,634,631,3.0,Iowa,1265,2018
t,16,21.6,21.0,21.1,71.0,22.3,21.5,633,631,4.0,Kansas,1265,2018
t,17,20.2,19.9,19.7,100.0,20.8,20.1,630,618,4.0,Kentucky,1248,2018
t,18,19.2,19.0,18.5,100.0,19.6,19.1,615,595,4.0,Louisiana,1210,2018
t,19,24.0,23.8,23.6,7.0,24.7,23.4,512,501,99.0,Maine,1013,2018
t,20,22.5,22.1,22.0,31.0,23.1,22.2,545,535,76.0,Maryland,1080,2018
t,21,25.5,25.5,25.2,25.0,25.9,24.7,562,563,80.0,Massachusetts,1125,2018
t,22,24.4,24.5,23.9,22.0,24.7,23.9,511,499,100.0,Michigan,1011,2018
t,23,21.3,20.2,21.4,99.0,21.7,21.4,643,655,4.0,Minnesota,1298,2018
t,24,18.6,18.2,18.1,100.0,18.9,18.6,630,606,3.0,Mississippi,1236,2018
t,25,20.0,19.5,19.7,100.0,20.5,20.0,633,629,4.0,Missouri,1262,2018
t,26,20.0,18.7,19.9,100.0,20.7,20.0,606,592,10.0,Montana,1198,2018
t,27,20.1,19.4,19.8,100.0,20.4,20.1,629,623,3.0,Nebraska,1252,2018
t,28,17.7,16.6,17.8,100.0,18.0,17.9,574,566,23.0,Nevada,1140,2018
t,29,25.1,25.1,24.7,16.0,25.6,24.4,535,528,96.0,New Hampshire,1063,2018
t,30,23.7,23.8,23.6,31.0,24.0,23.0,547,547,82.0,New Jersey,1094,2018
t,31,19.4,18.3,19.1,67.0,20.1,19.7,552,540,16.0,New Mexico,1093,2018
t,32,24.5,24.2,24.2,27.0,24.9,24.2,534,534,79.0,New York,1068,2018
t,33,19.1,18.0,19.3,100.0,19.5,19.2,554,543,52.0,North Carolina,1098,2018
t,34,20.3,19.1,20.3,98.0,20.7,20.5,640,643,2.0,North Dakota,1283,2018
t,35,19.3,18.4,18.8,100.0,20.1,19.4,541,521,8.0,Oklahoma,1062,2018
t,36,20.3,19.3,20.3,100.0,20.8,20.4,552,547,18.0,Ohio,1099,2018
t,37,21.3,20.6,20.9,42.0,21.9,21.1,564,553,48.0,Oregon,1117,2018
t,38,23.5,23.3,23.2,20.0,24.0,23.1,547,539,70.0,Pennsylvania,1086,2018
t,39,24.2,24.4,23.6,15.0,25.0,23.5,513,505,97.0,Rhode Island,1018,2018
t,40,18.3,17.3,18.2,100.0,18.6,18.5,547,523,55.0,South Carolina,1070,2018
t,41,21.9,20.8,21.6,77.0,22.4,22.2,622,618,3.0,South Dakota,1240,2018
t,42,19.6,19.4,19.1,100.0,19.9,19.6,624,607,6.0,Tennessee,1231,2018
t,43,20.6,19.6,20.6,41.0,21.1,20.8,520,512,66.0,Texas,1032,2018
t,44,20.4,19.7,19.9,100.0,20.9,20.5,480,530,4.0,Utah,1010,2018
t,45,24.1,23.9,23.4,24.0,24.9,23.8,565,554,64.0,Vermont,1120,2018
t,46,23.9,23.8,23.3,24.0,24.7,23.5,567,550,68.0,Virginia,1117,2018
t,47,22.2,21.4,22.2,24.0,22.7,22.0,543,538,69.0,Washington,1081,2018
t,48,20.3,19.8,19.4,65.0,21.3,20.4,513,486,28.0,West Virginia,999,2018
t,49,20.5,19.8,20.3,100.0,20.6,20.8,641,653,3.0,Wisconsin,1294,2018
t,50,20.0,19.0,19.7,100.0,20.6,20.3,633,625,3.0,Wyoming,1257,2018
